"X","Modes","Dimension1","Dimension2","Dimension3","Distribution","Densities","SiO2","TiO2","Al2O3","Cr2O3","Fe2O3","FeO","MnO","MgO","CaO","Na2O","K2O","O","H2O","P2O5","ZrO2","CO2","SO2","Li2O","ThO2","BaO","La2O3","Ce2O3","Pr2O3","Nd2O3","Sm2O3","Eu2O3","Gd2O3","Tb2O3","Dy2O3","Ho2O3","Er2O3","Tm2O3","Yb2O3","Lu2O3","Y2O3"
"K-felspar",38.2,2.4,1.2,1,"h",2.57,64.1041,0,19.7132,0,0,0.0781,0,0,0.691,2.4707,12.4428,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plagioclase",27.1,0.4,0.2,0.2,"h",2.64,60.5563,0,24.9468,0,0,0.1344,0,0,6.1469,8.0923,0.1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quartz",26.3,0.8,0.4,0.4,"h",2.65,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biotite",5.3,0.1,0.05,0.05,"h",3.07,38.2286,1.4189,15.1483,0,0,17.1197,0.3781,13.6677,0.0249,0.0895,9.8214,0,4.0008,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magnetite",1.4,0.1,0.1,0.1,"h",5.2,0,0,0.0441,0.0657,68.8628,30.9661,0.0613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Titanite",1.09,0.05,0.05,0.05,"p",3.53,31.8607,35.1672,1.9612,0,2.1169,0,0.1844,0.0629,28.5407,0.0322,0,0,0,0.0738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apatite",0.52,0.05,0.02,0.02,"p",3.16,0.1553,0,0,0,0.0476,0,0.0423,0.008,55.6337,0,0,0,1.7905,42.3226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epidote",0.08,0.05,0.02,0.02,"h",3.45,37.4399,0.0334,23.2206,0,13.9695,0,0.1928,0.0084,23.2329,0,0.0197,0,1.8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilmenite",0.06,0.05,0.05,0.05,"h",4.79,0.0793,50.5176,0,0,4.2174,29.8847,14.9411,0.0266,0.3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zircon",0.044,0.02,0.01,0.01,"p",4.71,32.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thorite",0.0041,0.02,0.01,0.01,"p",5.3,24.8723,0.1069,1.2795,0,3.2063,0,0.0237,0.054,1.7828,0.0104,0,0,11.2406,0.1663,0,0,0,0,57.2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepheline",0,0,0,0,"h",2.64,41.8224,0,35.4857,0,0,0,0,0,0,19.4135,3.2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olivine",0,0,0,0,"h",3.5,40.8734,0,0,0,0,9.7747,0,49.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cpx",0,0,0,0,"h",3.31,54.3059,0,0,0,0,6.4935,0,16.3927,22.8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Opx",0,0,0,0,"h",3.34,56.3132,0,0,0,0,13.467,0,30.2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amphibole",0,0.75,0.75,0.75,"h",3.28,42.1122,0,11.6358,0,0,20.5796,0,9.0351,11.5063,1.6551,1.5967,0,1.8792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muscovite",0,0.02,0.02,0.002,"h",2.83,45.4384,0,38.5538,0,0,0,0,0,0,0.7812,10.6853,0,4.5413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chlorite",0,0.3,0.3,0.03,"h",2.78,29.8874,0,16.906,0,0,17.8686,0,23.3898,0,0,0,0,11.9483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordierite",0,0.1,0.05,0.05,"h",2.64,48.7307,0,33.0778,0,0,11.6537,0,6.5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andalusite",0,0.05,0.05,0.05,"h",3.15,37.0786,0,62.9214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garnet",0,0.01,0.01,0.01,"h",4.06,38.6637,0,21.8704,0,0,30.8208,0,8.6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromite",0,0,0,0,"h",5.12,0,0,0,67.9029,0,32.0971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutile",0,0.005,0.005,0.005,"h",4.25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monazite",0,0.005,0.005,0.005,"h",5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1897,0,0,0,0,0,0,0,69.8103,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calcite",0,0,0,0,"h",2.71,0,0,0,0,0,0,0,0,56.0287,0,0,0,0,0,0,43.9713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrrhotite",0,0,0,0,"h",4.69,0,0,0,0,0,52.8621,0,0,0,0,0,0,0,0,0,0,47.1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrite",0,0,0,0,"h",5.01,0,0,0,0,0,35.9269,0,0,0,0,0,0,0,0,0,0,64.0731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spodumene",0,2,2,2,"h",3.15,64.6,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pentlandite",0,1,1,1,"h",2.42,78.56,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepidolite",0,0.5,0.5,0.5,"h",2.84,61.89,0,13.13,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pollucite",0,1.007,1.007,1.007,"h",2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbite",0,1.007,1.007,1.007,"h",5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
