X,Modes,Dimension1,Dimension2,Dimension3,Distribution,Densities,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,O,H2O,P2O5,ZrO2,CO2,SO3,Li2O,ThO2,BaO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,Y2O3,F,Sb2O3,CuO,Au2O,Ag2O,As2O3,SnO2,Sc2O3,UO2,V2O5,WO3,ZnO,SrO,BeO,PbO,Rb2O,Cs2O,Nb2O5,B2O3
K-felspar,38.2,2.4,1.2,1,h,2.57,64.1041,0,19.7132,0,0,0.0781,0,0,0.691,2.4707,12.4428,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plagioclase,27.1,0.4,0.2,0.2,h,2.64,60.5563,0,24.9468,0,0,0.1344,0,0,6.1469,8.0923,0.1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quartz,26.3,0.8,0.4,0.4,h,2.65,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotite,5.3,0.1,0.05,0.05,h,3.07,38.2286,1.4189,15.1483,0,0,17.1197,0.3781,13.6677,0.0249,0.0895,9.8214,0,4.0008,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnetite,1.4,0.1,0.1,0.1,h,5.2,0,0,0.0441,0.0657,68.8628,30.9661,0.0613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanite,1.09,0.05,0.05,0.05,p,3.53,31.8607,35.1672,1.9612,0,2.1169,0,0.1844,0.0629,28.5407,0.0322,0,0,0,0.0738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apatite,0.52,0.05,0.02,0.02,p,3.16,0.1553,0,0,0,0.0476,0,0.0423,0.008,55.6337,0,0,0,1.7905,42.3226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epidote,0.08,0.05,0.02,0.02,h,3.45,37.4399,0.0334,23.2206,0,13.9695,0,0.1928,0.0084,23.2329,0,0.0197,0,1.8829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilmenite,0.06,0.05,0.05,0.05,h,4.79,0.0793,50.5176,0,0,4.2174,29.8847,14.9411,0.0266,0.3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zircon,0.044,0.02,0.01,0.01,p,4.71,32.7779,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
